study_hours,play_hours,sleep_hours,tv_hours,pass
6.36,0.82,7.52,0.14,1
2.82,3.56,6.73,1.37,0
3.88,2.53,4.98,0.0,1
5.16,2.29,7.57,4.87,1
6.45,1.86,5.27,0.59,1
3.54,2.04,7.17,4.38,0
4.13,4.07,7.29,2.06,1
2.29,2.0,8.06,2.85,1
2.11,0.49,9.14,1.27,1
6.13,3.62,5.36,2.31,1
7.21,2.19,6.94,2.98,1
4.36,2.55,6.67,3.0,1
6.51,4.91,7.52,3.16,1
5.22,2.47,7.26,1.45,1
3.21,2.93,6.58,1.28,1
5.22,0.73,6.47,0.0,0
7.58,2.17,5.66,2.78,1
4.43,3.41,8.19,3.62,0
7.63,0.17,7.55,4.42,1
0.0,2.8,8.1,2.46,1
6.14,2.65,6.63,0.85,0
4.67,2.56,6.21,0.0,1
3.9,4.06,5.71,3.56,0
4.68,3.0,7.43,0.0,1
0.52,4.72,5.75,1.49,0
4.06,1.01,9.22,1.66,1
5.21,2.7,5.43,1.9,1
7.46,2.63,7.33,2.05,1
3.46,0.9,8.88,2.21,0
2.88,3.93,7.72,0.0,1
3.5,5.99,7.21,2.02,0
6.33,2.47,5.84,0.0,1
5.16,3.26,5.34,3.1,1
3.44,2.63,7.92,1.17,1
5.53,1.43,8.81,0.0,1
4.69,0.0,6.47,0.78,1
6.44,1.44,5.63,1.14,1
3.1,0.41,4.05,3.79,1
3.84,5.06,5.82,2.29,0
3.72,2.33,6.86,2.52,0
1.57,1.98,8.92,3.77,0
5.09,3.83,7.81,1.86,1
5.02,0.82,7.37,3.13,1
4.51,1.35,6.52,3.03,0
4.03,2.6,6.3,0.07,1
1.67,4.04,8.69,4.21,0
3.66,3.25,7.24,0.0,0
3.81,2.87,4.48,3.38,1
2.9,2.62,6.19,0.0,0
4.18,3.1,5.97,2.9,1
5.31,2.8,6.34,4.79,1
8.27,0.96,7.68,1.68,1
4.85,2.57,6.87,1.62,1
5.02,0.89,6.91,2.92,1
4.35,2.62,8.58,1.51,1
0.66,1.78,6.16,4.73,0
4.45,6.31,9.24,2.29,0
4.62,2.44,6.19,1.52,1
9.43,0.39,7.11,1.19,1
4.12,2.3,6.66,0.6,1
5.1,3.28,7.15,1.06,1
4.43,5.01,7.53,1.47,1
2.16,1.62,7.52,1.27,1
6.79,0.13,6.1,1.01,1
6.0,3.73,5.65,5.15,1
6.08,0.43,10.0,0.45,1
2.68,1.85,6.42,2.22,0
7.31,2.11,7.84,2.89,1
1.7,2.4,5.07,2.95,0
5.67,3.53,6.66,1.91,0
8.88,1.47,6.85,1.64,1
2.52,2.09,7.57,2.68,0
3.37,2.48,3.73,2.4,0
4.7,2.72,7.2,1.61,0
3.49,2.65,5.62,0.0,1
1.4,3.15,7.39,1.3,0
4.64,3.77,5.76,0.28,1
2.38,3.09,5.97,1.0,0
5.45,3.18,6.67,2.05,1
2.66,0.13,5.74,2.54,1
7.6,2.58,6.43,4.67,1
2.93,3.22,5.57,1.19,0
3.86,3.59,4.8,3.16,0
6.13,1.46,8.22,2.46,1
2.04,1.51,5.44,3.94,0
4.95,1.64,6.79,2.86,1
7.11,3.3,7.9,0.49,1
1.29,4.05,6.26,0.0,0
4.87,1.89,6.01,2.47,1
5.02,3.86,7.27,1.21,1
6.06,2.69,8.34,0.53,1
2.03,2.31,5.6,0.1,0
1.86,2.18,6.82,2.24,1
5.54,3.62,4.92,4.26,1
5.09,2.99,6.53,1.39,1
5.0,5.91,7.04,2.89,0
5.19,1.22,5.97,1.85,1
3.14,3.28,6.45,0.07,1
4.96,1.71,5.31,3.1,0
5.09,1.2,7.09,0.36,1
3.07,2.48,8.27,2.03,0
8.23,2.71,5.68,1.49,1
5.45,6.88,6.25,3.34,0
2.12,2.22,7.6,0.41,1
5.81,0.8,8.45,2.59,1
2.55,2.91,5.21,0.74,0
6.07,0.0,6.8,1.23,1
6.82,2.36,7.34,0.0,1
2.86,2.52,6.88,5.14,0
6.43,3.69,4.03,2.83,1
5.33,3.96,7.6,0.85,1
6.14,1.74,8.82,0.31,1
8.29,2.27,7.14,1.26,1
4.01,1.35,5.76,3.08,0
2.99,0.81,6.38,0.0,1
2.72,2.96,9.12,1.79,1
2.87,0.59,8.09,4.66,1
4.35,1.88,7.77,0.3,1
5.18,1.01,7.43,2.12,0
5.05,3.32,6.21,5.3,0
6.15,5.2,6.76,2.95,1
4.53,0.55,6.91,2.19,1
7.41,0.0,7.66,2.76,1
3.97,2.31,8.81,1.4,0
9.94,2.52,8.34,3.95,1
5.75,2.83,5.3,1.4,1
2.79,1.83,7.27,0.0,0
2.36,2.2,7.88,1.41,1
5.46,3.05,7.74,0.55,1
4.05,4.06,6.24,1.58,0
5.93,0.0,10.0,1.61,1
5.45,1.95,5.47,3.8,0
4.35,2.82,5.7,3.04,1
2.81,1.12,7.28,2.39,1
1.47,5.1,9.54,2.0,0
3.61,1.55,6.0,0.41,1
6.21,2.44,6.68,0.0,1
4.93,3.33,8.29,2.17,1
2.01,1.61,6.98,3.19,0
4.85,0.0,6.6,1.84,1
5.27,1.86,7.68,1.2,1
2.73,4.04,7.33,2.7,0
4.81,1.99,8.24,1.88,1
4.62,1.23,8.55,4.53,1
2.21,3.89,7.37,3.85,0
5.22,2.0,7.35,3.44,1
5.62,1.73,7.26,3.14,1
6.67,2.72,7.59,0.06,1
6.61,3.66,7.07,2.99,1
1.74,6.07,7.0,2.56,0
2.62,3.74,8.44,2.91,0
5.53,4.24,8.82,2.74,1
5.53,1.74,5.19,2.68,0
5.53,0.96,7.01,6.05,1
10.0,2.59,6.17,1.89,1
5.64,2.66,6.63,3.4,1
6.77,0.88,7.48,1.29,1
6.41,2.24,7.8,3.19,1
5.8,3.1,6.87,3.41,1
3.87,3.04,4.7,2.55,1
6.02,3.26,5.84,4.5,1
2.95,2.94,8.08,0.67,0
4.03,1.74,3.71,1.27,0
3.53,1.73,8.42,2.32,0
4.66,0.7,7.63,3.32,1
9.13,5.18,8.58,2.27,1
0.77,2.52,6.76,3.93,0
5.87,2.16,4.53,1.01,1
1.27,1.11,7.52,0.29,0
3.56,6.9,8.53,2.46,1
6.68,0.89,8.11,1.88,1
4.63,1.86,6.2,2.81,1
2.34,3.12,7.1,1.96,0
3.07,3.4,6.36,1.49,0
5.86,3.94,6.02,1.89,1
3.04,5.21,8.15,2.04,0
4.93,3.26,5.56,1.54,0
4.59,0.92,5.93,1.7,0
3.2,2.11,5.68,1.39,0
8.79,2.96,5.21,3.28,1
5.77,5.6,7.18,2.29,0
0.45,0.4,8.39,5.39,0
4.87,4.3,6.78,2.24,1
3.18,2.77,5.19,1.17,0
6.2,3.76,8.01,6.01,1
2.91,2.35,9.02,2.62,1
4.27,1.24,6.22,3.49,1
5.51,3.63,6.43,2.89,1
6.23,3.48,7.62,2.93,1
2.1,3.96,8.95,2.8,0
3.83,2.48,6.38,0.35,0
3.55,1.6,5.4,2.55,0
3.19,0.16,7.76,0.01,1
8.03,3.73,7.96,1.74,1
5.31,3.14,7.01,0.91,1
1.98,1.05,6.33,2.54,1
6.34,1.69,8.19,2.5,1
8.74,1.8,7.63,2.72,1
6.56,0.28,6.08,2.43,1
1.46,1.27,7.06,1.09,0
3.53,0.8,5.38,1.61,0
7.03,1.88,7.82,3.38,1
3.08,1.39,6.69,3.6,0
5.39,0.06,6.48,0.28,1
6.05,5.53,6.96,0.0,1
2.65,4.38,7.05,0.91,0
4.38,1.33,8.07,3.57,0
0.0,2.91,7.71,3.82,0
2.45,3.13,6.81,0.61,0
3.99,4.29,7.92,2.46,1
2.0,1.27,7.48,4.75,1
7.76,4.14,6.49,2.62,1
1.64,1.68,6.85,4.13,0
3.62,0.5,6.82,3.5,1
4.76,3.59,7.61,0.63,1
7.38,4.44,6.56,1.72,1
1.63,6.38,6.53,2.05,0
6.83,0.7,9.36,2.16,1
4.52,3.55,8.13,3.37,1
2.54,1.89,6.09,2.61,0
5.42,3.68,7.69,0.0,1
4.9,0.29,7.14,0.03,1
3.3,0.61,7.47,0.0,0
4.64,1.34,7.16,2.26,1
3.73,2.62,8.43,2.36,0
4.73,1.54,7.41,2.42,1
5.82,3.49,6.93,0.56,0
7.67,4.04,8.25,3.01,0
2.02,3.4,7.28,3.07,0
8.77,4.93,7.15,0.12,1
0.6,3.12,7.38,0.0,1
4.2,0.67,6.89,2.0,1
5.68,4.55,7.01,4.69,1
5.06,1.59,6.3,4.55,0
3.25,3.87,6.1,2.85,1
4.08,4.86,5.8,0.91,0
3.51,3.19,5.33,3.33,0
3.32,0.26,5.94,1.32,1
6.2,1.12,6.79,0.85,1
5.21,4.48,7.12,0.0,1
3.11,2.25,6.67,2.15,0
6.3,2.62,4.17,1.06,1
5.11,3.64,8.89,2.14,1
6.13,3.54,8.3,0.0,1
5.76,2.92,7.53,2.25,1
2.84,2.19,9.29,0.0,0
3.38,2.03,5.83,3.63,0
5.99,3.79,9.27,2.78,1
5.72,3.33,5.84,1.58,1
4.46,2.11,7.29,2.84,0
4.73,4.12,5.47,0.53,0
7.06,2.31,7.02,2.11,1
3.32,1.22,7.46,3.19,1
5.59,1.36,6.81,0.0,1
4.1,1.03,7.86,1.33,1
4.06,2.09,7.12,1.97,1
6.7,4.35,6.37,1.71,1
6.15,1.29,6.32,4.19,1
6.13,2.78,7.97,0.31,1
7.11,1.51,6.22,1.07,1
4.54,2.11,8.1,0.0,1
5.86,0.23,8.47,4.27,1
3.88,2.17,5.0,1.63,1
5.15,2.21,8.36,1.34,0
4.24,3.31,9.47,1.92,1
4.69,2.83,7.3,2.95,1
5.69,0.7,7.72,2.52,1
2.86,4.13,8.24,5.97,0
8.68,2.82,6.67,2.68,1
2.49,2.8,7.22,1.3,0
2.07,2.49,5.42,1.16,0
6.82,1.72,7.17,1.41,1
6.08,2.83,7.6,0.0,1
5.75,3.21,7.62,2.06,1
5.76,0.0,8.28,3.18,1
4.48,1.69,6.07,1.08,1
2.71,2.12,6.36,0.79,0
4.65,2.88,9.27,4.27,1
3.15,4.29,6.82,0.0,1
6.45,1.34,7.24,0.0,1
4.21,1.75,6.92,0.27,1
2.85,1.73,6.01,0.0,1
3.86,1.3,8.95,2.58,1
5.33,1.98,6.37,1.46,1
3.37,3.66,5.65,1.67,1
2.86,0.92,6.46,3.73,0
4.99,3.14,4.6,0.96,0
4.99,0.0,6.22,3.16,1
3.49,1.66,5.84,4.27,0
3.56,2.01,7.74,1.32,1
4.96,5.01,6.19,3.11,0
1.6,2.09,8.07,1.64,1
1.69,0.0,8.68,3.39,1
3.06,0.0,7.94,0.0,1
4.07,2.55,6.74,0.0,0
5.12,3.42,7.17,1.41,1
7.45,3.06,5.17,0.67,1
6.22,2.75,6.84,1.22,1
4.18,4.24,5.97,1.67,1
4.46,1.69,7.83,3.08,1
2.49,3.84,10.0,1.39,0
4.46,0.05,7.6,0.76,1
3.92,1.14,4.61,1.47,0
5.15,0.0,6.57,0.85,1
2.85,2.09,7.15,0.6,1
5.54,2.43,7.1,0.0,1
7.57,2.67,6.12,2.1,1
4.28,2.59,7.29,1.15,1
5.3,1.11,5.51,3.45,1
5.88,2.21,5.87,0.0,1
3.7,0.25,7.77,1.19,0
4.95,4.54,5.78,4.72,1
4.53,2.04,7.65,0.59,0
4.7,1.77,5.36,1.65,1
2.95,4.88,9.12,0.18,1
4.55,0.64,6.07,0.0,1
5.5,0.81,6.73,4.32,1
7.4,0.86,7.4,2.26,1
6.42,2.4,6.32,2.2,1
8.81,3.15,7.17,0.0,1
2.97,3.61,7.69,2.54,1
6.24,6.36,8.15,3.74,0
4.87,0.0,7.95,3.72,1
8.88,3.41,6.79,3.0,1
2.88,1.66,6.82,0.31,1
2.82,1.62,9.82,2.47,0
3.3,1.57,8.14,3.0,1
0.25,1.14,5.89,0.0,0
3.45,5.03,7.12,0.32,0
2.98,3.76,6.6,3.33,0
4.8,2.53,6.84,3.31,1
5.18,4.53,5.52,0.0,0
8.25,0.23,6.51,3.19,1
6.4,0.5,9.17,2.14,1
3.35,0.0,7.69,3.17,1
2.7,1.45,4.01,1.05,0
5.48,2.74,8.46,2.97,1
1.86,2.65,8.31,3.27,1
8.16,2.72,6.57,1.47,1
6.86,0.38,7.86,2.03,1
3.56,3.7,5.97,1.03,1
1.07,2.86,6.44,4.48,0
7.21,3.6,8.8,1.82,1
4.27,0.0,6.67,0.62,1
6.98,2.97,4.76,0.93,1
1.31,0.72,6.92,2.19,0
3.3,1.9,6.91,3.13,1
4.51,3.3,8.44,0.0,0
4.59,2.64,7.02,4.77,1
3.6,1.22,6.49,2.46,0
5.75,2.51,8.25,2.7,1
2.36,0.2,7.14,1.85,0
4.22,4.23,6.1,2.03,1
4.74,2.19,8.39,1.78,1
5.53,4.18,7.23,3.53,0
5.92,1.71,7.0,1.99,1
2.25,1.71,7.21,3.15,0
1.43,1.35,5.72,1.35,1
7.06,3.81,6.37,2.29,1
5.16,1.44,7.0,0.79,1
3.0,3.47,6.77,3.82,1
7.6,1.93,8.53,0.75,1
4.73,0.0,7.26,1.51,1
6.86,1.64,8.03,1.53,1
4.64,0.73,7.01,1.47,1
8.62,2.55,8.27,3.08,1
8.01,0.71,7.48,1.53,1
4.0,3.89,7.02,4.09,0
6.44,2.36,6.98,0.77,1
5.79,2.23,5.85,2.25,1
7.24,3.48,7.61,0.84,1
2.57,3.95,6.95,2.63,0
5.87,2.47,6.4,1.98,1
6.62,1.34,8.33,1.77,1
0.98,0.0,5.5,3.78,0
2.13,1.47,6.49,1.02,0
0.42,1.57,8.23,2.88,0
3.96,2.66,7.38,0.85,0
5.94,1.98,6.94,2.17,1
7.5,3.53,7.3,0.21,1
4.65,1.58,7.22,1.01,0
7.76,2.41,5.18,1.88,1
1.74,4.28,6.58,4.72,0
1.09,3.01,8.94,2.15,0
4.39,2.41,6.21,4.48,1
5.27,1.6,6.62,2.33,0
4.43,1.55,6.35,1.42,1
0.37,1.22,6.9,4.31,0
4.32,1.69,6.3,2.66,1
1.89,3.63,7.58,1.04,0
5.84,2.17,7.24,2.71,1
5.23,0.48,7.93,1.56,1
2.62,5.15,5.74,0.0,0
3.47,2.98,6.59,3.4,0
2.38,0.39,6.73,3.64,1
4.37,1.84,7.55,4.76,0
6.41,2.67,6.05,2.63,1
2.53,5.06,8.1,1.63,1
5.51,0.84,8.42,3.25,1
3.44,3.96,5.81,3.27,0
2.91,4.6,6.41,4.46,0
4.29,1.56,6.36,1.93,1
2.43,2.08,10.0,1.75,0
3.39,0.95,6.48,0.93,0
2.1,2.19,9.01,2.81,1
8.43,2.45,5.48,0.0,1
4.57,3.49,5.81,3.16,1
3.1,4.14,6.18,2.88,0
4.93,1.38,5.99,2.88,1
4.28,0.0,6.68,2.21,1
4.06,2.47,6.15,4.3,1
5.73,2.94,6.02,3.31,0
6.02,2.87,8.39,1.09,1
3.44,2.01,8.47,1.12,0
3.35,2.69,8.14,0.68,1
3.95,4.77,7.63,2.83,0
0.0,3.07,7.11,0.5,0
1.47,1.94,6.4,3.63,0
7.23,1.75,5.86,3.98,1
7.79,2.25,7.44,0.68,0
4.0,4.96,5.59,1.72,1
5.65,2.23,5.81,2.02,1
5.12,2.47,8.38,3.33,1
10.0,1.78,9.28,4.41,1
6.74,4.15,7.47,0.0,1
4.24,5.44,8.33,1.52,1
2.59,3.18,6.7,1.6,0
1.29,2.62,5.39,0.0,0
4.91,2.56,7.73,1.27,1
2.99,0.0,7.68,2.64,0
1.66,3.62,7.09,1.58,0
3.21,2.7,6.71,0.0,1
2.34,3.14,8.15,6.31,1
7.87,1.43,5.82,2.4,1
6.26,1.92,6.07,2.17,1
4.48,1.88,5.79,0.35,1
7.46,4.03,7.1,2.39,1
4.65,1.93,5.69,1.75,1
2.78,5.62,6.18,0.0,0
7.55,3.15,6.15,0.39,1
5.58,0.59,6.69,3.19,0
2.43,2.31,5.22,4.92,0
4.12,1.52,7.1,2.55,1
2.75,0.0,8.5,3.65,0
1.73,4.9,7.16,1.77,0
6.35,3.55,8.85,1.87,1
8.32,3.3,8.6,3.64,1
1.7,2.75,7.93,4.49,0
5.63,0.43,7.09,3.95,1
3.2,1.77,7.03,0.4,1
3.53,3.76,7.92,1.9,0
3.32,0.92,6.53,2.42,0
2.77,0.0,4.74,1.61,0
4.6,2.16,7.59,2.58,1
2.84,2.29,5.64,3.23,1
5.04,2.7,5.85,3.5,1
4.4,3.59,7.0,4.53,0
4.02,3.46,6.89,1.51,1
2.68,2.89,5.31,0.0,1
3.35,4.29,7.2,2.54,1
6.01,0.22,8.16,4.83,1
5.5,3.26,5.65,1.28,0
2.54,3.44,8.53,3.03,1
4.7,0.64,5.13,3.04,1
6.0,0.25,9.54,2.29,1
1.16,1.38,6.51,2.01,1
5.59,1.51,7.17,0.61,0
3.17,3.63,4.73,0.0,1
5.64,1.58,6.93,0.33,1
2.97,1.22,7.27,1.41,1
0.89,1.58,6.9,3.65,1
1.24,4.18,6.32,1.85,0
4.6,2.52,5.86,1.22,1
5.02,2.23,8.36,0.66,1
2.69,2.33,7.04,2.99,1
5.78,4.44,8.85,4.04,1
1.18,1.38,6.37,3.6,1
4.37,4.47,6.48,2.91,0
2.08,2.82,7.98,0.0,0
3.2,2.26,5.05,1.47,0
4.59,6.25,5.54,4.92,0
2.78,0.92,8.32,3.68,0
3.73,1.97,5.59,0.0,1
6.51,0.65,4.82,1.92,1
3.35,3.93,9.24,2.54,0
6.17,5.03,5.33,0.86,0
2.24,5.0,7.22,0.0,0
5.56,4.34,7.08,2.15,1
7.38,2.2,3.63,0.82,1
0.0,1.95,6.68,0.82,0
2.91,0.0,7.54,1.47,1
5.65,5.55,7.43,1.8,1
4.09,3.2,8.08,1.99,0
5.24,1.76,6.54,0.67,1
3.29,4.49,7.86,1.67,1
4.67,1.04,6.17,0.0,1
4.19,3.11,5.31,2.47,1
6.84,2.24,5.44,0.0,1
5.01,3.46,5.25,1.57,1
5.18,2.4,8.21,3.38,1
3.68,0.32,5.18,0.41,0
3.52,2.61,7.33,3.07,1
3.63,4.07,6.68,3.73,0
5.29,2.46,6.88,0.0,1
3.66,3.66,8.64,1.77,0
5.08,0.93,6.47,0.0,1
8.65,2.46,7.73,1.82,1
6.24,1.56,7.05,1.99,1
3.85,3.62,6.82,0.0,1
6.9,2.55,9.76,4.89,1
3.68,3.54,5.27,2.43,1
0.42,4.13,8.55,0.73,0
2.48,3.54,7.79,4.2,0
0.76,2.91,6.42,0.0,0
3.8,1.0,8.96,0.16,0
4.54,2.5,4.78,0.0,0
7.85,1.7,6.37,4.7,0
5.15,1.98,5.55,2.5,0
4.06,1.94,7.49,2.99,0
6.16,1.03,5.66,2.45,1
0.08,0.0,7.52,2.86,0
4.97,1.5,6.78,2.12,1
6.04,2.79,6.42,2.41,1
1.54,0.48,7.47,2.16,1
6.79,2.52,6.68,1.09,1
5.18,5.35,5.69,1.93,1
3.67,4.03,10.0,2.41,1
5.77,4.97,6.42,2.17,1
9.04,3.09,4.34,0.0,1
4.86,4.25,5.99,0.0,0
5.0,1.41,5.48,3.62,0
3.58,1.53,7.99,1.54,0
2.8,0.0,7.39,2.88,0
6.16,4.28,7.48,0.36,1
2.79,4.81,6.56,0.0,1
4.64,1.67,6.66,0.73,1
3.54,2.12,6.55,1.67,0
5.46,1.37,6.9,1.0,1
5.17,3.07,8.0,3.94,0
6.58,4.19,7.4,2.27,1
3.48,0.0,7.6,4.77,0
3.96,3.11,7.6,2.61,1
2.54,2.08,8.06,0.0,0
3.61,2.67,7.35,3.58,1
5.25,3.19,7.43,0.0,1
6.01,2.22,8.43,2.35,1
2.66,2.34,6.2,0.84,0
6.24,2.18,5.97,5.21,1
7.21,3.96,5.58,4.16,0
5.33,3.13,7.22,0.89,1
8.25,2.83,4.78,1.81,1
2.95,0.59,7.55,2.37,1
2.01,1.93,6.87,3.3,0
0.94,3.85,8.36,2.04,1
7.49,2.56,6.19,0.46,0
5.81,3.49,6.76,0.92,0
4.39,5.15,8.35,1.99,0
5.06,4.06,8.66,3.85,1
2.25,2.64,6.18,2.64,1
9.39,1.73,7.22,0.84,0
4.76,0.0,7.35,2.97,1
4.72,2.25,7.45,1.42,0
5.95,2.01,6.68,3.34,1
5.46,3.09,8.54,5.79,1
4.95,2.27,4.73,1.46,0
2.92,2.02,6.49,3.2,1
5.44,0.0,7.54,0.88,1
8.26,1.09,7.55,1.83,1
7.19,3.21,8.62,2.04,1
7.69,5.07,8.44,1.71,1
3.48,2.35,6.66,5.69,0
2.52,2.99,8.56,1.54,1
4.25,3.93,6.14,2.88,1
4.61,1.28,8.12,0.0,1
6.69,3.05,9.17,2.65,1
1.12,1.39,8.46,3.71,0
7.56,3.8,7.13,1.21,1
4.18,2.73,6.6,0.0,1
3.65,2.95,5.17,1.94,0
2.48,1.33,7.37,2.03,1
1.19,3.56,5.66,3.09,1
6.15,5.63,6.05,5.02,1
4.65,0.99,5.57,1.43,0
1.92,1.99,6.45,0.72,1
1.91,2.85,6.97,0.25,0
3.83,3.68,7.33,2.3,0
7.84,1.66,6.28,2.72,1
3.98,0.0,8.28,1.18,1
1.49,4.54,6.75,3.17,0
4.01,3.64,6.05,2.7,0
3.95,0.0,7.27,2.06,1
0.0,1.59,9.36,0.65,0
4.39,4.85,7.4,1.28,1
4.04,4.67,6.56,0.0,1
5.89,3.91,5.17,2.35,1
8.2,2.24,6.74,2.04,1
6.75,2.62,7.28,2.28,1
3.96,2.3,6.53,2.76,1
2.29,4.19,5.0,2.58,0
9.65,1.19,5.98,1.83,1
4.62,1.29,8.75,2.07,0
4.53,4.02,8.72,0.0,1
4.45,2.43,5.94,1.12,0
4.9,4.57,7.81,2.08,1
4.21,1.49,5.59,0.9,1
3.35,2.42,8.69,3.29,1
3.41,1.12,7.29,1.01,0
4.43,2.51,8.14,2.32,1
3.41,0.28,4.94,2.17,1
3.07,1.77,7.81,3.12,1
4.71,0.35,6.99,3.35,1
3.99,3.54,8.02,3.04,1
7.51,3.57,8.1,0.0,1
0.0,0.0,7.08,3.79,0
6.68,4.5,6.28,4.29,0
6.99,6.25,7.94,1.28,1
0.35,2.57,6.93,2.35,0
3.81,1.54,5.95,0.66,1
3.76,6.74,5.9,0.0,0
1.68,0.52,5.23,0.89,1
2.94,2.53,6.39,1.19,0
2.28,2.77,8.32,1.47,1
8.0,4.52,7.21,0.56,1
6.37,3.04,6.36,0.9,1
7.04,1.75,7.97,1.98,1
5.94,1.07,6.0,0.84,1
2.24,1.99,7.11,2.82,1
3.45,0.99,6.78,3.02,1
5.48,2.57,7.93,5.57,1
2.06,1.65,5.11,3.69,0
5.93,0.26,5.98,2.36,1
4.02,4.38,5.03,1.07,0
3.75,1.75,6.69,2.44,0
5.92,0.6,8.45,2.49,1
5.39,2.25,6.39,1.23,0
3.78,2.6,6.39,3.18,0
6.82,0.0,8.05,0.0,1
2.34,3.0,8.28,1.63,0
5.73,0.93,6.89,2.83,1
5.69,5.07,7.82,1.57,1
3.88,3.29,5.71,1.69,0
5.15,1.9,8.65,1.79,1
2.0,1.38,9.58,0.75,0
6.35,2.34,7.63,3.76,1
4.13,3.42,4.5,0.47,1
3.45,2.46,6.33,2.48,0
6.6,2.17,7.74,2.62,1
3.09,2.59,6.49,0.58,0
1.68,1.59,8.53,2.11,1
1.39,1.99,7.71,0.64,0
5.71,0.0,6.15,4.09,0
1.94,3.96,7.04,0.29,0
8.01,2.95,5.93,1.02,1
0.34,1.34,6.78,0.16,1
7.89,5.35,6.33,0.0,1
4.92,2.63,8.41,4.39,0
4.31,0.95,9.54,2.81,1
3.41,3.79,5.28,2.21,1
5.3,3.1,4.69,1.02,0
4.42,3.09,6.71,3.36,0
6.71,1.86,5.18,0.76,1
4.73,3.18,7.06,3.19,1
4.8,2.11,7.9,0.69,1
3.77,3.33,8.79,1.03,1
4.39,0.0,7.24,3.14,0
5.12,1.85,6.77,3.3,1
1.08,5.08,4.63,2.9,0
1.8,1.35,7.03,0.43,0
5.99,1.59,7.09,1.33,0
4.84,1.83,7.77,2.24,1
4.13,0.68,6.15,0.73,1
4.54,0.0,6.48,4.06,1
5.2,2.15,5.23,0.0,0
3.42,2.7,4.25,0.83,0
2.94,2.42,5.67,1.24,1
4.89,2.28,5.12,0.0,1
2.54,2.56,7.4,0.0,1
5.32,4.03,6.38,2.94,1
1.09,2.21,6.35,2.05,0
6.56,1.64,5.82,4.36,1
5.45,2.08,3.12,4.32,0
5.01,3.37,8.81,2.65,0
6.47,4.62,5.8,2.47,0
7.83,1.56,6.51,2.1,1
6.53,2.65,5.25,0.0,1
0.82,3.01,8.17,0.0,1
1.94,1.01,7.17,2.15,1
3.25,2.53,6.01,2.92,1
4.55,0.3,6.53,2.43,1
5.54,0.0,9.01,0.66,1
3.05,3.05,6.91,3.41,1
4.87,1.92,6.78,4.22,0
2.99,2.8,5.87,3.41,0
3.28,2.47,4.73,3.48,0
1.69,1.04,6.81,1.16,0
2.65,2.43,7.39,3.61,1
1.8,0.65,8.32,2.22,1
2.55,4.59,4.3,2.77,0
6.61,0.47,5.65,2.55,1
2.6,2.21,6.3,1.82,0
9.76,0.94,7.0,0.71,1
5.49,3.36,6.83,1.88,1
4.87,2.0,6.85,3.48,1
2.78,1.72,7.49,1.34,0
5.9,3.78,5.92,3.34,1
3.35,2.54,8.12,3.11,1
4.74,3.27,7.52,1.55,1
9.62,1.03,6.62,4.08,1
4.31,0.39,8.92,1.47,1
6.8,2.66,8.87,4.26,1
3.09,2.02,8.12,2.65,1
4.43,3.44,3.38,1.98,0
8.04,2.38,8.89,0.67,1
3.25,2.81,7.95,1.87,0
8.12,0.06,9.41,1.69,1
5.92,5.33,8.48,0.11,1
3.38,2.25,8.89,1.67,1
5.76,3.55,8.05,0.79,1
6.45,1.25,8.62,2.88,1
